============================================================================================
ANSOFT CORPORATION                                                                  10/18/18
Circuit5                                                                            17:33:31

--------------------------------------------------------------------------------------------
           F [GHz]               dB(S11)                dB(S21)
 0.119000000000000    -0.000425010591402    -40.131560115094167
 0.120000000000000    -0.000431987988265    -40.060231166208943
 0.121000000000000    -0.000439019345045    -39.989516620897930
 0.122000000000000    -0.000446104553937    -39.919406545745417
 0.123000000000000    -0.000453243506359    -39.849891250482244
 0.124000000000000    -0.000460436092943    -39.780961280109466
 0.125000000000000    -0.000467682203560    -39.712607407338247
 0.126000000000000    -0.000474981727314    -39.644820625331072
 0.127000000000000    -0.000482334552543    -39.577592140729948
 0.128000000000000    -0.000489740566814    -39.510913366957709
 0.129000000000000    -0.000497199656943    -39.444775917780383
 0.130000000000000    -0.000504711708989    -39.379171601117825
 0.131000000000000    -0.000512276608259    -39.314092413091601
 0.132000000000000    -0.000519894239299    -39.249530532299254
 0.133000000000000    -0.000527564485917    -39.185478314304547
 0.134000000000000    -0.000535287231172    -39.121928286334139
 0.135000000000000    -0.000543062357388    -39.058873142171386
 0.136000000000000    -0.000550889746138    -38.996305737238522
 0.137000000000000    -0.000558769278279    -38.934219083859183
 0.138000000000000    -0.000566700833904    -38.872606346692876
 0.139000000000000    -0.000574684292409    -38.811460838334646
 0.140000000000000    -0.000582719532445    -38.750776015072162
 0.141000000000000    -0.000590806431945    -38.690545472794014
 0.142000000000000    -0.000598944868119    -38.630762943042434
 0.143000000000000    -0.000607134717465    -38.571422289204669
 0.144000000000000    -0.000615375855759    -38.512517502836971
 0.145000000000000    -0.000623668158072    -38.454042700115814
 0.146000000000000    -0.000632011498765    -38.395992118411023
 0.147000000000000    -0.000640405751502    -38.338360112976041
 0.148000000000000    -0.000648850789231    -38.281141153750085
 0.149000000000000    -0.000657346484213    -38.224329822268338
 0.150000000000000    -0.000665892708013    -38.167920808675184
 0.151000000000000    -0.000674489331498    -38.111908908836824
 0.152000000000000    -0.000683136224856    -38.056289021549141
 0.153000000000000    -0.000691833257585    -38.001056145837246
 0.154000000000000    -0.000700580298494    -37.946205378342647
 0.155000000000000    -0.000709377215728    -37.891731910795478
 0.156000000000000    -0.000718223876750    -37.837631027567561
 0.157000000000000    -0.000727120148350    -37.783898103303869
 0.158000000000000    -0.000736065896645    -37.730528600629157
 0.159000000000000    -0.000745060987097    -37.677518067926989
 0.160000000000000    -0.000754105284503    -37.624862137188146
 0.161000000000000    -0.000763198652997    -37.572556521926501
 0.162000000000000    -0.000772340956068    -37.520597015158977
 0.163000000000000    -0.000781532056537    -37.468979487447939
 0.164000000000000    -0.000790771816594    -37.417699885003344
 0.165000000000000    -0.000800060097776    -37.366754227842655
 0.166000000000000    -0.000809396760982    -37.316138608006227
 0.167000000000000    -0.000818781666466    -37.265849187826440
 0.168000000000000    -0.000828214673859    -37.215882198248373
 0.169000000000000    -0.000837695642152    -37.166233937200332
 0.170000000000000    -0.000847224429712    -37.116900768012634
 0.171000000000000    -0.000856800894292    -37.067879117882377
 0.172000000000000    -0.000866424893004    -37.019165476383449
 0.173000000000000    -0.000876096282358    -36.970756394019276
 0.174000000000000    -0.000885814918253    -36.922648480817649
 0.175000000000000    -0.000895580655968    -36.874838404965494
 0.176000000000000    -0.000905393350185    -36.827322891482872
 0.177000000000000    -0.000915252854983    -36.780098720934227
 0.178000000000000    -0.000925159023835    -36.733162728176168
 0.179000000000000    -0.000935111709625    -36.686511801140234
 0.180000000000000    -0.000945110764647    -36.640142879649552
 0.181000000000000    -0.000955156040605    -36.594052954268328
 0.182000000000000    -0.000965247388613    -36.548239065183019
 0.183000000000000    -0.000975384659216    -36.502698301114116
 0.184000000000000    -0.000985567702374    -36.457427798257662
