n z[nm] Potential[eV]
274 8.494000e+00 1.500000e+00
275 8.525000e+00 1.500000e+00
275 8.525000e+00 1.500000e+00
276 8.556000e+00 1.500000e+00
276 8.556000e+00 1.500000e+00
277 8.587000e+00 1.500000e+00
277 8.587000e+00 1.500000e+00
278 8.618000e+00 1.500000e+00
278 8.618000e+00 1.500000e+00
279 8.649000e+00 1.500000e+00
279 8.649000e+00 1.500000e+00
280 8.680000e+00 1.500000e+00
280 8.680000e+00 1.500000e+00
281 8.711000e+00 1.500000e+00
281 8.711000e+00 1.500000e+00
282 8.742000e+00 1.500000e+00
282 8.742000e+00 1.500000e+00
283 8.773000e+00 1.500000e+00
283 8.773000e+00 1.500000e+00
284 8.804000e+00 1.500000e+00
284 8.804000e+00 1.500000e+00
285 8.835000e+00 1.500000e+00
285 8.835000e+00 1.500000e+00
286 8.866000e+00 1.500000e+00
286 8.866000e+00 1.500000e+00
287 8.897000e+00 1.500000e+00
287 8.897000e+00 1.500000e+00
288 8.928000e+00 1.500000e+00
288 8.928000e+00 1.500000e+00
289 8.959000e+00 1.500000e+00
289 8.959000e+00 1.500000e+00
290 8.990000e+00 1.500000e+00
290 8.990000e+00 1.500000e+00
291 9.021000e+00 1.500000e+00
291 9.021000e+00 1.500000e+00
292 9.052000e+00 1.500000e+00
292 9.052000e+00 1.500000e+00
293 9.083000e+00 1.500000e+00
293 9.083000e+00 1.500000e+00
294 9.114000e+00 1.500000e+00
294 9.114000e+00 1.500000e+00
295 9.145000e+00 1.500000e+00
295 9.145000e+00 1.500000e+00
296 9.176000e+00 1.500000e+00
296 9.176000e+00 1.500000e+00
297 9.207000e+00 1.500000e+00
297 9.207000e+00 1.500000e+00
298 9.238000e+00 1.500000e+00
298 9.238000e+00 1.500000e+00
299 9.269000e+00 1.500000e+00
299 9.269000e+00 1.500000e+00
300 9.300000e+00 1.500000e+00
300 9.300000e+00 0.000000e+00
301 9.331000e+00 0.000000e+00
301 9.331000e+00 0.000000e+00
302 9.362000e+00 0.000000e+00
302 9.362000e+00 0.000000e+00
303 9.393000e+00 0.000000e+00
303 9.393000e+00 0.000000e+00
304 9.424000e+00 0.000000e+00
304 9.424000e+00 0.000000e+00
305 9.455000e+00 0.000000e+00
305 9.455000e+00 0.000000e+00
306 9.486000e+00 0.000000e+00
306 9.486000e+00 0.000000e+00
307 9.517000e+00 0.000000e+00
307 9.517000e+00 0.000000e+00
308 9.548000e+00 0.000000e+00
308 9.548000e+00 0.000000e+00
309 9.579000e+00 0.000000e+00
309 9.579000e+00 0.000000e+00
310 9.610000e+00 0.000000e+00
310 9.610000e+00 0.000000e+00
311 9.641000e+00 0.000000e+00
311 9.641000e+00 0.000000e+00
312 9.672000e+00 0.000000e+00
312 9.672000e+00 0.000000e+00
313 9.703000e+00 0.000000e+00
313 9.703000e+00 0.000000e+00
314 9.734000e+00 0.000000e+00
314 9.734000e+00 0.000000e+00
315 9.765000e+00 0.000000e+00
315 9.765000e+00 0.000000e+00
316 9.796000e+00 0.000000e+00
316 9.796000e+00 0.000000e+00
317 9.827000e+00 0.000000e+00
317 9.827000e+00 0.000000e+00
318 9.858000e+00 0.000000e+00
318 9.858000e+00 0.000000e+00
319 9.889000e+00 0.000000e+00
319 9.889000e+00 0.000000e+00
320 9.920000e+00 0.000000e+00
320 9.920000e+00 0.000000e+00
321 9.951000e+00 0.000000e+00
321 9.951000e+00 0.000000e+00
322 9.982000e+00 0.000000e+00
322 9.982000e+00 0.000000e+00
323 1.001300e+01 0.000000e+00
323 1.001300e+01 0.000000e+00
324 1.004400e+01 0.000000e+00
324 1.004400e+01 0.000000e+00
325 1.007500e+01 0.000000e+00
325 1.007500e+01 0.000000e+00
326 1.010600e+01 0.000000e+00
326 1.010600e+01 0.000000e+00
327 1.013700e+01 0.000000e+00
327 1.013700e+01 0.000000e+00
328 1.016800e+01 0.000000e+00
328 1.016800e+01 0.000000e+00
329 1.019900e+01 0.000000e+00
329 1.019900e+01 0.000000e+00
330 1.023000e+01 0.000000e+00
330 1.023000e+01 0.000000e+00
331 1.026100e+01 0.000000e+00
331 1.026100e+01 0.000000e+00
332 1.029200e+01 0.000000e+00
332 1.029200e+01 0.000000e+00
333 1.032300e+01 0.000000e+00
333 1.032300e+01 0.000000e+00
334 1.035400e+01 0.000000e+00
334 1.035400e+01 0.000000e+00
335 1.038500e+01 0.000000e+00
335 1.038500e+01 0.000000e+00
336 1.041600e+01 0.000000e+00
336 1.041600e+01 0.000000e+00
337 1.044700e+01 0.000000e+00
337 1.044700e+01 0.000000e+00
338 1.047800e+01 0.000000e+00
338 1.047800e+01 0.000000e+00
339 1.050900e+01 0.000000e+00
339 1.050900e+01 0.000000e+00
340 1.054000e+01 0.000000e+00
340 1.054000e+01 1.500000e+00
341 1.057100e+01 1.500000e+00
341 1.057100e+01 1.500000e+00
342 1.060200e+01 1.500000e+00
342 1.060200e+01 1.500000e+00
343 1.063300e+01 1.500000e+00
343 1.063300e+01 1.500000e+00
344 1.066400e+01 1.500000e+00
344 1.066400e+01 1.500000e+00
345 1.069500e+01 1.500000e+00
345 1.069500e+01 1.500000e+00
346 1.072600e+01 1.500000e+00
346 1.072600e+01 1.500000e+00
347 1.075700e+01 1.500000e+00
347 1.075700e+01 1.500000e+00
348 1.078800e+01 1.500000e+00
348 1.078800e+01 1.500000e+00
349 1.081900e+01 1.500000e+00
349 1.081900e+01 1.500000e+00
350 1.085000e+01 1.500000e+00
350 1.085000e+01 1.500000e+00
351 1.088100e+01 1.500000e+00
