プログラムNo.2,,,,,,,,,,,,,,,
,層番号,材料番号,物質名,ML数,層厚[nm],比誘電率,有効質量,障壁の高さ,谷,分割数,NX,EF,仕事関数,電荷量,
79,2.45E+00,1.50E+00,,,,,,,,,,,,,
79,2.45E+00,1.50E+00,,,,,,,,,,,,,
80,2.48E+00,1.50E+00,,,,,,,,,,,,,
80,2.48E+00,0.00E+00,,,,,,,,,,,,,
81,2.51E+00,0.00E+00,,,,,,,,,,,,,
81,2.51E+00,0.00E+00,,,,,,,,,,,,,
82,2.54E+00,0.00E+00,,,,,,,,,,,,,
82,2.54E+00,0.00E+00,,,,,,,,,,,,,
83,2.57E+00,0.00E+00,,,,,,,,,,,,,
83,2.57E+00,0.00E+00,,,,,,,,,,,,,
84,2.60E+00,0.00E+00,,,,,,,,,,,,,
84,2.60E+00,0.00E+00,,,,,,,,,,,,,
85,2.64E+00,0.00E+00,,,,,,,,,,,,,
85,2.64E+00,0.00E+00,,,,,,,,,,,,,
86,2.67E+00,0.00E+00,,,,,,,,,,,,,
86,2.67E+00,0.00E+00,,,,,,,,,,,,,
87,2.70E+00,0.00E+00,,,,,,,,,,,,,
87,2.70E+00,0.00E+00,,,,,,,,,,,,,
88,2.73E+00,0.00E+00,,,,,,,,,,,,,
88,2.73E+00,0.00E+00,,,,,,,,,,,,,
89,2.76E+00,0.00E+00,,,,,,,,,,,,,
89,2.76E+00,0.00E+00,,,,,,,,,,,,,
90,2.79E+00,0.00E+00,,,,,,,,,,,,,
90,2.79E+00,0.00E+00,,,,,,,,,,,,,
91,2.82E+00,0.00E+00,,,,,,,,,,,,,
91,2.82E+00,0.00E+00,,,,,,,,,,,,,
92,2.85E+00,0.00E+00,,,,,,,,,,,,,
92,2.85E+00,0.00E+00,,,,,,,,,,,,,
93,2.88E+00,0.00E+00,,,,,,,,,,,,,
93,2.88E+00,0.00E+00,,,,,,,,,,,,,
94,2.91E+00,0.00E+00,,,,,,,,,,,,,
94,2.91E+00,0.00E+00,,,,,,,,,,,,,
95,2.95E+00,0.00E+00,,,,,,,,,,,,,
95,2.95E+00,0.00E+00,,,,,,,,,,,,,
96,2.98E+00,0.00E+00,,,,,,,,,,,,,
